Number of members;Year
51;1945
55;1946
57;1947
58;1948
59;1949
60;1950
60;1951
60;1952
60;1953
60;1954
76;1955
80;1956
82;1957
82;1958
82;1959
99;1960
104;1961
110;1962
113;1963
115;1964
117;1965
122;1966
123;1967
126;1968
126;1969
127;1970
132;1971
132;1972
135;1973
138;1974
144;1975
147;1976
149;1977
151;1978
152;1979
154;1980
157;1981
157;1982
158;1983
159;1984
159;1985
159;1986
159;1987
159;1988
159;1989
159;1990
166;1991
179;1992
184;1993
185;1994
185;1995
185;1996
185;1997
185;1998
188;1999
189;2000
189;2001
191;2002
191;2003
191;2004
191;2005
192;2006
192;2007
192;2008
192;2009
192;2010
193;2011
193;2012
193;2013
193;2014
193;2015
193;2016
193;2017
193;2018
193;2019
193;2020
